run,dataset,config,label,exp,lambda_max,spectral_cut,spectral_gap_pct,align_mean,align_std,align_max,gap_pct_mean,mean_pairwise
v2_G22_K2000_G55_G70_nt32_main,G22,SA,SA,,0.4505474870630621,12704.0,4.9030616064076655,0.32134375,0.13363513978717387,0.42600000000000005,0.1256175611947002,0.25495665322580646
v2_G22_K2000_G55_G70_nt32_main,G22,SB,SB,,0.4505474870630621,12704.0,4.9030616064076655,0.38759374999999996,0.05564331685779971,0.44199999999999995,0.07158095665843252,0.15951512096774192
v2_G22_K2000_G55_G70_nt32_main,G22,PT,PT,,0.4505474870630621,12704.0,4.9030616064076655,0.23846875,0.12721167998040706,0.5149999999999999,0.8175668088928811,0.41437197580645163
v2_G22_K2000_G55_G70_nt32_main,G22,GA,GA,,0.4505474870630621,12704.0,4.9030616064076655,0.37687499999999996,0.05894422681654243,0.41300000000000003,0.08000224567707165,0.17542137096774194
v2_G22_K2000_G55_G70_nt32_main,K2000,CIM,CIM,,2.0437700324255728,27342.0,17.983021867594566,0.19259374999999998,0.10981116159542936,0.388,3.2181772505024444,0.4457086693548387
v2_G22_K2000_G55_G70_nt32_main,K2000,CAC,CAC,,2.0437700324255728,27342.0,17.983021867594566,0.11268750000000001,0.11691434832282137,0.42400000000000004,26.073131955484897,0.47293548387096773
v2_G22_K2000_G55_G70_nt32_main,K2000,SA,SA,,2.0437700324255728,27342.0,17.983021867594566,0.09946875000000002,0.06316495486769147,0.24,5.406998980112188,0.4652711693548387
v2_G22_K2000_G55_G70_nt32_main,K2000,SB,SB,,2.0437700324255728,27342.0,17.983021867594566,0.441375,0.07902719073205122,0.591,0.5148183699793023,0.3134233870967742
v2_G22_K2000_G55_G70_nt32_main,K2000,PT,PT,,2.0437700324255728,27342.0,17.983021867594566,0.11815624999999999,0.07406884862030395,0.29700000000000004,6.730040945495995,0.46573891129032263
v2_G22_K2000_G55_G70_nt32_main,K2000,GA,GA,,2.0437700324255728,27342.0,17.983021867594566,0.35812499999999997,0.06022029869570559,0.485,0.37289648138704745,0.37518749999999995
v2_G22_K2000_G55_G70_nt32_main,G55,CIM,CIM,,0.655731455130682,9403.0,8.699873774152831,0.2606625,0.1274669607927874,0.4408000000000001,1.1557554131469074,0.3867278225806452
v2_G22_K2000_G55_G70_nt32_main,G55,CAC,CAC,,0.655731455130682,9403.0,8.699873774152831,0.123375,0.07407057023541806,0.26639999999999997,0.6463006117098747,0.4378459677419355
v2_G22_K2000_G55_G70_nt32_main,G55,SA,SA,,0.655731455130682,9403.0,8.699873774152831,0.15126250000000002,0.06940382621837214,0.2632000000000001,0.30555150985532575,0.4095157258064516
v2_G22_K2000_G55_G70_nt32_main,G55,SB,SB,,0.655731455130682,9403.0,8.699873774152831,0.1204875,0.0925006342883658,0.274,0.2645887950286436,0.37611814516129033
v2_G22_K2000_G55_G70_nt32_main,G55,PT,PT,,0.655731455130682,9403.0,8.699873774152831,0.113075,0.07079388656515476,0.2712,1.0698854257694923,0.4396322580645161
v2_G22_K2000_G55_G70_nt32_main,G55,GA,GA,,0.655731455130682,9403.0,8.699873774152831,0.058475,0.047615589621467454,0.20320000000000005,2.1109452374016895,0.46946209677419354
v2_G22_K2000_G55_G70_nt32_main,G70,CIM,CIM,,0.5438142697570925,9197.0,4.108017933479304,0.24849374999999999,0.07530250633901568,0.38639999999999997,1.1612449171097905,0.3810163306451613
v2_G22_K2000_G55_G70_nt32_main,G70,CAC,CAC,,0.5438142697570925,9197.0,4.108017933479304,0.0736125,0.054074692266808146,0.23340000000000005,1.5590788238974036,0.47513467741935483
v2_G22_K2000_G55_G70_nt32_main,G70,SA,SA,,0.5438142697570925,9197.0,4.108017933479304,0.08813125,0.06117118621898304,0.22340000000000004,0.761456052549265,0.4566308467741936
v2_G22_K2000_G55_G70_nt32_main,G70,SB,SB,,0.5438142697570925,9197.0,4.108017933479304,0.12140624999999998,0.07595678844538847,0.2552,0.5708476696903346,0.4492679435483871
v2_G22_K2000_G55_G70_nt32_main,G70,PT,PT,,0.5438142697570925,9197.0,4.108017933479304,0.0568125,0.03637007483838876,0.12739999999999996,2.0139323323949534,0.4808774193548387
v2_G22_K2000_G55_G70_nt32_main,G70,GA,GA,,0.5438142697570925,9197.0,4.108017933479304,0.03768125,0.029386172742252435,0.0998,4.06272807840684,0.48723931451612906
