dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,4,async0.5seq,逐次更新 f=0.5,9600,7.76871782382993e-06,10.810127299977466,3676.4772895282604,0.38296638432586044,13295.125,13331.0,14.570410941356458,0.4781420765027322,0.20959652668612921,0.33423891129032257,0.35324999999999995,0.0,0.499,25,20,0.0195,0.8562826759108939,18,0.3158137254901961,11
G22,4,async0.25seq,逐次更新 f=0.25,19200,3.884358911914965e-06,15.416066200006753,7352.954579056521,0.38296638432586044,13296.0625,13333.0,14.486928375262991,0.4711243356538663,0.19462534620854854,0.35895262096774194,0.37224999999999997,0.0675,0.4995,32,28,0.016,0.817609216475624,18,0.33662418300653596,18
G55,0,baseline,baseline,9600,2.520304854118271e-05,11.386604100000113,3535.4712588045695,0.368278256125476,10179.96875,10225.0,16.694842719759297,1.1557554131469074,0.7185163608117293,0.3867278225806452,0.39780000000000004,0.1334,0.499,32,26,0.0012,0.8667858318886027,0,nan,0
G55,1,init1e-05,初期振幅 1e-05,9600,2.520304854118271e-05,11.395203799940646,3535.4712588045695,0.368278256125476,10182.25,10223.0,12.673791855636576,1.1336052043887757,0.737935721914749,0.35581209677419356,0.3705,0.0986,0.5,32,23,0.0176,0.79014275555846,0,nan,0
G55,1,init0.001,初期振幅 0.001,9600,2.520304854118271e-05,11.369100000010803,3535.4712588045695,0.368278256125476,10184.25,10207.0,13.026415470113028,1.1141858432857559,0.8932906107389067,0.36750201612903227,0.3786,0.1454,0.4996,32,25,0.0008,0.8513484908984876,0,nan,0
G55,1,init0.1,初期振幅 0.1,9600,2.520304854118271e-05,11.68769379996229,3535.4712588045695,0.368278256125476,10178.46875,10206.0,14.493499351002159,1.1703199339741723,0.9030002912904166,0.4124899193548387,0.4193,0.2222,0.4996,32,25,0.0,0.9179815932396439,0,nan,0
G55,2,dp0.25x,ramp 0.25x,9600,6.3007621352956775e-06,11.542698300094344,14141.885035218278,1.0,10184.28125,10200.0,12.833633485396877,1.1138824157685212,0.9612583745994756,0.27191250000000006,0.2559,0.0024,0.5,32,17,0.1358,0.6051419715074844,0,nan,0
G55,2,dp4x,ramp 4x,9600,0.00010081219416473084,11.288362099905498,883.8678147011424,0.092069564031369,10153.78125,10194.0,18.639230092401885,1.410027672589572,1.019516457908535,0.4231266129032258,0.4338,0.253,0.4996,32,26,0.0,0.9186185997604691,0,nan,0
G55,2,dp16x,ramp 16x,9600,0.00040324877665892336,12.034902599989437,220.9669536752856,0.02301739100784225,10101.28125,10144.0,18.048951449807273,1.9197859015438392,1.5050004854840275,0.45131935483870966,0.4587,0.257,0.4998,32,25,0.0,0.9544642872301423,0,nan,0
G55,2,dp64x,ramp 64x,9600,0.0016129951066356934,13.005441299988888,55.2417384188214,0.005754347751960562,10014.8125,10084.0,25.219582545117593,2.759369841732207,2.087581318574619,0.46619032258064513,0.47050000000000003,0.33,0.5,32,28,0.0,0.9661229735314715,0,nan,0
G55,3,noise10x,ノイズ 10x,9600,2.520304854118271e-05,11.145488200010732,3535.4712588045695,0.368278256125476,10179.8125,10212.0,12.508590797927639,1.1572725507330808,0.8447422079813574,0.4017471774193548,0.4129,0.1492,0.4996,32,25,0.0006,0.9091692298041951,0,nan,0
